pname
Arlette Marchal
Lillian Albertson
Lorna Jordan
Lou Jacobs
Lydia Clarke
Lyle Bettger
Mona Freeman
Mona Knox
Norman Field
Patricia Michon
Paul Jung
Riccardo Cucciolla
Robert St. Angelo
Robert W. Rushing
Rosemary Dvorak
Ross Bagdasarian Sr.
Russ Conklin
Theodore St. John
Tuffy Genders
Vicki Bakken
William Boyd
William Hall
William J. Riley
Betty Hutton
Fredric M. Frank
Bob Wilke
Eve McVeagh
Grace Kelly
Guy Beach
Harry Morgan
Jack Elam
Jeanne Blackford
John Doucette
Katy Jurado
Lee Van Cleef
Lucien Prival
Nolan Leary
Otto Kruger
Paul Dubov
Ralph Reed
Robert J. Wilke
Sheb Wooley
Ted Stanhope
Tim Graham
Tom Greenway
Tom London
Virginia Christine
Virginia Farmer
Carl Foreman
Fred Zinnemann
Stanley Kramer
Aeneas MacKenzie
Carl Jaffe
Finlay Currie
Francis De Wolff
Guy Rolfe
Harold Warrender
John Ruddock
Lionel Harris
Megs Jenkins
Michael Brennan
Patrick Holt
Robert Douglas
Roderick Lovell
Sebastian Cabot
Valentine Dyall
Pandro S. Berman
Richard Thorpe
Robert Taylor
Aleta Morrison
Anthony Gray
Arissa Cooper
Bernard Rebel
Charles Carson
Charles Reynolds
Christopher Rhodes
Claude Nollier
Colette Marchand
David Garth
Diane Cilento
Donovan Winter
Eric Pohlmann
Fernand Fabre
George Pastell
Georges Lannes
Guy Motschen
Harold Kasket
Hilary Allen
Hugh Dempster
Ina De La Haye
Isabel George
Jacques Cey
Jean Claudio
Jean Landlier
Jean Ozenne
Jill Bennett
Jim Gerald
Katherine Kath
Lee Montague
M. Ledebur
M. Tabourno
M. Valerbe
Madge Brindley
Margaret Maxwell
Maria Britneva
Maria Samina
Maureen Swanson
Michael Balfour
Michael Seavers
Muriel Smith
Peter Haddon
Raymond Rollett
Rene Laplat
Rene Poirier
Richard Molinas
Robert Le Fort
Rupert John
Sara Luzita
Sheila Nelson
Suzanne Flon
Suzi Euzaine
Terence ORegan
Theodore Bikel
Tim Turner
Tutte Lemkow
Walter Crisham
Walter Cross
Zsa Zsa Gabor
John Huston John Woolf and James Woolf
José Ferrer
Al Murphy
Antonia Wayne
Charles Fitzsimmons
Don Hatswell
Eileen Crowe
Eric Gorman
Jack MacGowran
Jack Roper
James Lilburn
Joseph ODea
Ken Curtis
Kevin Lawless
May Craig
Melinda Wayne
Michael Wayne
Mildred Natwick
Paddy ODonnell
Sean McClory
Webb Overlander
Frank S. Nugent
John Ford and Merian C. Cooper
Al Sargent
Allen Pinson
Alvin Sargent
Angela Stevens
Arthur Keegan
Barbara Morrison
Carey Leverette
Carleton Young
Claude Akins
Delia Salvi
Don Dubbins
Douglas Henderson
Edward Laguna
Ernest Borgnine
Fay Roope
Freeman Lusk
George Reeves
Guy Way
Harry Bellaver
Jack Warden
James Brick Sullivan
James Jones
Jean Willes
Joan Shawlee
Joe Roach
John Bryant
John Davis
John Dennis
John L. Cason
John Patrick Veitch
Joseph Sargent
Kristine Miller
Louise Saraydar
Mack Chandler
Manny Klein
Margaret Barstow
Mary Carver
Merle Travis
Mickey Shaughnessy
Moana Gleason
Patrick Miller
Philip Ober
Robert Healy
Robert Pike
Tim Ryan
Tyler McVey
Wayne Norman
Weaver Levy
William Lundmark
Willis Bouchey
Buddy Adler
Burt Lancaster
Daniel Taradash
Alvin Hurwitz
Ann Tyrrell
Chet Stratton
David Bond
Dayton Lummis
Donald Elson
Douglass Watson
Edmund Purdom
George Macready
Jack Raine
James Mason
John Hardy
John Hoyt
John Lupton
John OMalley
Joseph Waring
Michael Ansara
Michael Pate
Michael Tolan
Ned Glass
Preston Hanson
Stephen Roberts
Victor Perry
William Cottrell
John Houseman
A. Ben Astar
Albert Maltz
Alex Pope
Anne Bancroft
Anthony Eustrel
Anthony Jochim
Bella St. John
Betta St John
Cameron Mitchell
Dan Ferniel
David Leonard
Dawn Addams
Ed Mundy
Emmett Lynn
Ernest Thesiger
Ford Rainey
Frank Pulaski
Frank de Kova
George H. Melford
George Keymas
George Robotham
Gina Kaus
Gloria Saunders
Harry Shearer
Helen Beverly
Jay Robinson
Jean Corbett
Jeff Morrow
Joan Corbett
Leo Curley
Leon Askin
Marc Snow
Michael Rennie
Nicholas Koster
Pamela Robinson
Richard Boone
Sally Corner
Sam Gilman
Torin Thatcher
Van Des Autels
Victor Mature
Virginia Lee
Richard Burton
Alfredo Rizzo
Andre Esterhazy
Andre Eszterhazy
Bruno Baschiera
Carlo Rizzo
Cesare Viori
Claudio Ermelli
Eddie Albert
Edward Hitchcock
Eric Oulton
George Higgins
Giacomo Penza
Gianna Segale
Giuliano Raffaelli
Gorella Gori
Hartley Power
Heinz Hindrich
Ian McLellan Hunter
John Horne
Laura Solari
Marco Tulli
Margaret Rawlings
Maurizio Arena
Mimmo Poli
Paola Borboni
Paolo Carlini
Princess Alma Cattaneo
Princess Lilamani
Rapindranath Mitter
Richard McNamara
Tania Weber
Tullio Carminati
Tullio Carminatti
Ugo Ballerini
Ugo De Pascale
Audrey Hepburn
John Dighton
Ben Johnson
Bill Cartledge
Brandon De Wilde
Charles Quirk
Chester W. Hannan
Emile G. Meyer
Ewing Miles Brown
George J. Lewis
Helen Brown
Henry Wills
Jack Palance
Jack Sher
Janice Carroll
John Dierkes
John Miller
Leonard Strong
Nancy Kulp
Ray Spiker
Rex Moore
Steve Raines
Van Heflin
A.B. Guthrie Jr.
Abe Simon
Ann Hegira
Anne Hegira
Barry Macollum
Don Blackman
Eva Marie Saint
Fred Gwynne
Jere Delaney
John F. Hamilton
John Heldabrand
Martin Balsam
Mike ODowd
Nehemiah Persoff
Pat Henning
Pat Hingle
Rebecca Sands
Rod Steiger
Tami Mauriello
Thomas Handley
Tiger Joe Marsh
Tony Galento
Sam Spiegel
Arthur Franz
David Alpert
Don Keefer
E.G. Marshall
Eddie Laguna
James Best
James Edwards
James Todd
Jay Richards
Jerry Paris
Joe Haworth
Lee Marvin
May Wynn
Michael Blankfort
Paul McGuire
Richard Norris
Robert Francis
Ted Cooper
Tom Tully
Warner Anderson
Whit Bissell
Stanley Roberts
Allan Douglas
Anthony Ross
Bob Alden
Don Dunning
Eddie Ryder
Frank J. Scannell
Jack Kenney
Jack Roberts
Jacqueline Fontaine
John Florio
John W. Reynolds
Jon Provost
Les Clark
Richard Keene
Robert Kent
Ruth Rickaby
Ruth Ricksby
William Perlberg
Betty Carr
Dante DiPaolo
Dorothy Kingsley
Earl Barton
Howard Petrie
Jacques dAmboise
Jane Powell
Jarma Lewis
Julie Newmar
Kelly Brown
Lois Hall
Marc E. Platt
Marjorie Wood
Matt Mattox
Matt Moore
Nancy Kilgas
Norma Doggett
Phil Rich
Russell Saunders
Ruta Lee
Sheila James
Terry Wilson
Tommy Rall
Virginia Gibson
Walter Beaver
Howard Keel
Jack Cummings
Stanley Donen
Cathleen Nesbitt
Dino Bolognese
Grazia Narciso
Jack Mattis
Jean Peters
Larry Arnold
Luciana Paluzzi
Maggie McNamara
Mario Siletti
Maurice Brierre
Merry Anders
Renata Vanni
Rossano Brazzi
Tony De Mario
Vicente Padula
Vincent Padula
Zachary Yaconelli
John Patrick
Sol C. Siegel
Alan Wells
Augusta Ciolli
Betsy Palmer
Esther Minciotti
Frank Sutton
James Bell
Joe De Santis
Joe Mantell
John Milford
Karen Steele
Robin Morse
Silvio Minciotti
Walter Kelley
Delbert Mann
Harold Hecht
Paddy Chayefsky
Buck Kartalian
Carolyn Tong
Clarence E. Frank
Dan Borzage
Danny Borzage
Denny Niles
Duke Kahanamoku
Francis Conner
Frank Aletter
Fritz Ford
George Brangier
Gregory Walcott
Harry Carey Jr.
Jack Lemmon
Jeanne Murray
Jim Moloney
Jimmy Murphy
Joshua Logan
Kathleen OMalley
Lonnie Pierce
Martin Milner
Maura Murphy
Nick Adams
Perry Lopez
Philip Carey
Robert Roark
Shug Fisher
Stubby Kruger
Tige Andrews
William Hudson
Leland Hayward
Abraham Weinlood
Adlai Zeph Fisher
Carle E. Baker
Cliff Robertson
Don C. Harvey
Elizabeth Wilson
Flomanita Jackson
Floyd Steinbeck
George E. Bemis
Harold A. Beyer
Harry Sherman Schall
Henry P. Watson
Henry Pegueo
Kim Novak
Paul R. Cochran
Phyllis Newman
Raymond Bailey
Reta Shaw
Steve Benton
Susan Strasberg
Verna Felton
Warren Frederick Adams
Wayne R. Sullivan
Fred Kohlmar
Albert Atkins
Augusta Merighi
Ben Cooper
Dorrit Kelton
Florence Sundstrom
Fred Barney Taylor
Hal Kanter
Jean Hart
Jo Van Fleet
Larry Chance
Lewis Charles
Margherita Pasquero
Marisa Pavan
May Lee
Mimi Aguglia
Roger Gunderson
Roland Vildo
Rosa Rey
Rossana San Marco
Sandro Giglio
Virgil Osborne
Virginia Grey
Zolya Talma
Anna Magnani
Daniel Mann
Hal B. Wallis
A.E. Matthews
Alan Mowbray
Amapola Del Vando
Anna de Linsky
Arthur E. Gould-Porter
Ava Gardner
Beatrice Lillie
Bhogwan Singh
Cameron Hall
Campbell Cotts
Cantinflas
Carli Elinor
Casey MacGregor
Chester Hayes
Chuck Hamilton
Edward R. Murrow
Fernandel
Frances Fong
Fred Cavens
George Raft
George Russell
Glynis Johns
James Poe
John Benson
Jose Greco
Kathryn Wilson
Laura Lamb
Luis Miguel Dominguin
Maria Monay
Marlene Dietrich
Martine Carol
Max Reid
Mike Mazurki
Patrick Cargill
Paul King
Raoul Freeman
Red Skelton
Richard Aherne
Richard Wattis
Robert Cabal
Robert Morley
Robert Newton
Robert Okazaki
Robert Whitney
Ronald Adam
Ronald Squire
Roy Darmour
S.J. Perelman
Satini Puailoa
Shirley MacLaine
Theona Bryant
Tim Mccoy
Tommy Fujiwara
Trevor Howard
John Farrow
Michael Anderson
Michael Todd
Anthony Perkins
Chuck Courtney
Dan Kennedy
Diane Jergens
Earl Hodgins
Earle Hodgins
Edna Skinner
Frances Farwell
Harry Hines
Helen Kleeb
Ivan Rasputin
Jack McClure
James Dobson
Jean Innes
Jean Inness
Joe Turkel
Joel Fluellen
John Pickard
John Smith
Marjorie Durant Dye
Mary Carr
Mary Jackson
Nelson Leigh
Norman Leavitt
Peter Mark Richman
Phyllis Love
Richard Eyer
Richard Garland
Robert Middleton
Steve Warren
Theodore Newton
William Schallert
Alexander Scourby
Ana Maria Majalca
Barbara Barrie
Bill Hale
Carl S.G. Moore
Carolyn Craig
Carroll Baker
Charles Meredith
Charles Watts
Christine Werner
David Jiminez
Dennis Hopper
Dimitri Tiomkin
Earl Holliman
Eddie Baker
Elsa Cardenas
Ethel Greenwood
Felipe Turich
Fernando Alvarado
Fran Bennett
Francisco Villa-Lobos
George Dunn
Guy Teague
Ina Poindexter
Ivan Moffat
James Dean
Jane Withers
John Garcia
John Wiley
Judith Evelyn
Juney Ellis
Mark Hamilton
Mary Ann Edwards
Maurice Jara
Max Alibi Terhune
Maxine Gates
Mickey Simpson
Monte Hale
Napoleon Whiting
Natividad Vacio
Noreen Nash
Paul Fix
Paul Kruger
Pilar del Rey
Ramon Ramirez
Ray Bennett
Ray Whitley
Richard Bishop
Robert Nichols
Rock Hudson
Rod Taylor
Rush Williams
Sal Mineo
Slim Talbot
Steven Kay
Tina Menard
Tom Monroe
Tony Morella
Victor Millan
Wanda Lee Thompson
Fred Guiol
George Stevens and Henry Ginsberg
Carlos Rivas
Dennis Bonilla
Dusty Worrall
Eddie Luke
Fuji
Gemze de Lappe
Geoffrey Toone
Irene James
Jadin Wong
Jean Wong
Jocelyn New
Josephine Smith
Marion Jim
Marni Nixon
Martin Benson
Michiko Iseri
Patrick Adiarte
Rex Thompson
Rita Moreno
Robert Banas
Terry Saunders
Thomas Bonilla
William Yip
Yuriko
Ernest Lehman
Walter Lang
Yul Brynner
Abbas El Bougbdadly
Abbas El Boughdadly
Anthony George
Baynes Barron
Clint Walker
Debra Paget
Diane Hall
Donald Curtis
E.J. Andre
Ed Hinton
Edna Mae Cooper
Eduard Franz
Eric Alden
Esther Brown
Eugene Mazzola
Eugenia Strauss
Francis McDonald
Frankie Darro
Fraser C. Heston
Fred Coby
Gail Kobe
George Baxter
Henry Brandon
Henry Corden
Herb Alpert
Irene Martin
Irene Tedrow
Jack Gariss
James Coburn
Jeane Wood
Jesse Lasky Jr.
Joan Woodbury
Joanna Merlin
Joel Ashley
John Hart
John Miljan
Joyce Vanderveen
Kathy Garver
Kay Hammond
Keith Richards (I)
Kem Dibbs
Ken Dibbs
Lisa Lee Mitchell
Lisa Mitchell
Luis Alberni
Mary Benoit
Matty Fain
Mena Mohamed
Michael Connors
Mike Connors
Mimi Gibson
Moe DiSesso
Nancy Hale
Noelle Williams
Onslow Stevens
Pat Richard
Paul De Rolf
Paula Morgan
Peter Coe
Peter Hanson
Peter Mamakos
Ramsay Hill
Ramsey Hill
Richard Kean
Robert Bice
Robert Carson
Robert Clarke
Robert Vaughn
Rodd Redwing
Stanley Price
Steve Darrell
Steven Darrell
Tommy Duran
Tony Dante
Walter Woolf King
Woody Strode
Zeev Bufman
Jesse L. Lasky
Alec Guinness
Andre Morrell
André Morell
Ann Sears
Geoffrey Horne
Henry Okawa
Jack Hawkins
Javanart Punynchoti
K. Katsumoto
Kannikar Wowklee
M.R.B. Chakrabandhu
Ngamta Suphaphongs
Percy Herbert
Peter Williams
Sessue Hayakawa
Vilaiwan Seeboonreaung
Henry Fonda and Reginald Rose
Alan Reed Jr.
Alan Reed Sr.
Alfred Tonkel
Arthur Kennedy
Barry Coe
David Nelson
Diane Varsi
Edith Claire
Edwin Jerome
Harry Carter
Hope Lange
Jim Brandt
Kip King
Lee Philips
Lloyd Nolan
Lorne Greene
Michael Lally
Mildred Dunnock
Robert Adler
Robert H. Harris
Scotty Morrow
Staats Cotsworth
Steffi Sidney
Tami Connor
Jerry Wald
John Michael Hayes
Mark Robson
William Goetz
Francis Compton
Harry Kurnitz
J. Pat OMalley
John Williams (II)
Lawrence B. Marcus
Marjorie Eaton
Molly Roden
Arthur Hornblow Jr.
Frederick Loewe
Jack Trevan
Jacques Bergerac
Leroy Winebrenner
Lydia Stevens
Marilyn Sims
Marya Ploss
Monique van Vooren
Pat Sheahan
Richard Bean
Adolph Green
Booth Colman
Brook Byron
Carol Veazie
Charles Heard
Coral Browne
Cris Alexander
Dennis Patrick
Doye ODell
Jan Handzlik
Joanna Barnes
Margaret Dumont
Morton DaCosta
Owen McGiveney
Paul Davis
Peggy Cass
Pippa Scott
Rand Harper
Richard Reeves
Robert E. Lee
Robin Hughes
Roger Smith
Terry Kelman
Yuki Shimoda
Betty Comden
Jack L. Warner
Bobby Johnson
Brian Corcoran
Burl Ives
Deborah Miller
Hugh Corcoran
Larry Gates
Madeleine Sherwood
Patty Ann Gerrity
Rusty Stevens
Tony Merrill
Vaughan Taylor
Vince Townsend Jr.
Zelda Cleaver
Lawrence Weingarten
Paul Newman
Richard Brooks
Cara Williams
Charles McGraw
Kevin Coughlin
Nathan E. Douglas
Ned Young
Sidney Poitier
Harold Jacob Smith
Tony Curtis
Audrey Dalton
May Hallatt
Priscilla Morgan
Rita Hayworth
Terence Rattigan
Wendy Hiller
John Gay
Adi Berber
Al Silvani
Aldo Mozele
Aldo Pial
Aldo Silvani
Alfredo Danesi
Bill Kuehl
Claude Heater
Cliff Lyons
David Davies
Dervis Ward
Diego Pozzetto
Dino Fazio
Duncan Lamont
Edward J. Auregul
Emilio Carrer
Enzo Fiermonte
Ferdinand Ferdy Mayne
Frank Thring
George Relph
Haya Harareet
Hector Ross
Howard Lang
Hugh Billingsley
Hugh Griffith
Jerry Brown
Joe Canutt
Joe Yrigoyen
John Glenn
John Horsley
John Le Mesurier
John Zaccaro
José Greci
Karl Tunberg
Laurence Payne
Luigi Marra
Marina Berti
Maxwell Shaw
Michael Cosmo
Michael Dugan
Mino Doro
Noel Sheldon
Otello Capanna
Pietro Tordi
Raimondo Van Riel
Ralph Truman
Reginald Lal Singh
Remington Olmstead
Richard Coleman
Robert Brown
Stella Vitelleschi
Stephen Boyd
Stevenson Lang
Terence Longdon
Thomas James OLeary
Tiberio Mitri
Victor De La Fosse
Alexander Campbell
Ben Gazzara
Don Ross
Douglas Brooks West
Duke Ellington
George C. Scott
Howard McNear
Irving Kupcinet
James Waters
Joseph Kearns
Joseph N. Welch
Joseph Welch
Kathryn Grant
Ken Lynch
Lee Remick
Lloyd Le Vasseur
Murray Hamilton
Ned Wever
Orson Bean
Royal Beal
Russ Brown
Otto Preminger
Wendell Mayes
Del Erickson
Diane Baker
Dody Heath
Ed Wynn
Frank Tweddell
Gretchen Goertz
Gusti Huber
Lou Jacobi
Richard Beymer
Robert Boon
William Kirschner
Millie Perkins
Ave Ninchi
Beatrice Straight
Charles Lamb
Colleen Dewhurst
Dara Gavin
Diana Lambert
Dorothy Alison
Edith Evans
Elfrida Simbari
Errol John
Eva Kotthaus
Frank Singuineau
Franz Waxman
Giovanna Galletti
Jeannette Sterke
Juan Aymerich
Lionel Jeffries
Ludovice Bonhomme
Margaret Phillips
Marina Wolkonsky
Molly Urquhart
Orlando Martins
Patricia Bosworth
Peggy Ashcroft
Penelope Horner
Peter Finch
Richard OSullivan
Rosalie Crutchley
Ruth White
Stephen Murray
Henry Blanke
John Woolf and James Woolf
Benny Burt
David Lewis
David White
Edie Adams
Francis Lax
Hal Smith
Hope Holiday
I.A.L. Diamond
Jack Kruschen
Johnny Seven
Joyce Jameson
Naomi Stevens
Ray Walston
Aissa Wayne
Alfred Taylor
Big John Hamilton
Bill Daniel
Bill Shannon
Boyd Red Morgan
Buff Brady
Carlos Arruza
Carol Baxter
Charles Akins
Charles Sanders
Chuck Hayward
Chuck Roberson
Cy Malis
Dean Smith
Denver Pyle
Ed Carter
Frankie Avalon
George Ross
Jack Miller
Jack Williams
Jerry Phillips
Jester Hairston
Jim Brewer
Jim Burk
Jim Walker
Jim Wright
Joan OBrien
Joe Graham
Joe Jackson
Laurence Harvey
Leroy Johnson
Linda Cristal
Mickey Finn
Miguel Garza
Richard Widmark
Ronald Lee
Ruben Padilla
Rudy Robbins
Tap Canutt
Ted White
Wesley Lau
James Edward Grant
Bernard Smith
Alister Williamson
Chips Rafferty
Dick Bentley
Dina Merrill
Ewen Solon
Gerry Duggan
John Meillon
Leonard Teale
Lola Brooks
Max Osbiston
Mercia Barden
Mervyn Johns
Michael Anderson Jr.
Peter Carver
Peter Ustinov
Ray Barrett
Ronald Fraser
Wylie Watson
Andre Tayir
Anthony Teague
Bert Michaels
Bill Bramley
Burt Michaels
Carole DAndrea
David Bean
David Winters
Eddie Verso
Eliot Feld
George Chakiris
Gina Trikonis
Gus Trikonis
Harvey Hobnecker
Harvey Hohnecker
Jaime Rogers
Jay Norman
Jerome Robbins
Jimmy Bryant
Jo Anne Miya
Joanna Miya
John Astin
Johnny Green
Jose De Vega
Larry Roquemore
Nich Covvacevich
Penny Santon
Robert Thompson
Rudy Del Campo
Scooter Teague
Simon Oakland
Sue Oakes
Suzie Kaye
Thomas Abbott
Tommy Abbott
Tony Mordente
Tucker Smith
William Bramley
Yvonne Othon
Robert Wise
Albert Lieven
Allan Cuthbertson
Anthony Quinn
Bryan Forbes
Cleo Scouloudi
George Mikell
Gia Scala
Irene Papas
J. Lee Thompson
James Darren
James Robertson Justice
Michael Trubshawe
Nicholas Papakonstantantinou
Richard Harris
Stanley Baker
Walter Gotell
Alexander Rose
Art Smith
Brendan Fay
Carl York
Carolyn Coates
Charles Andre
Charles Dierkop
Charles McDaniel
Cliff Pellow
Clifford A. Pellow
Don Koll
Don de Leo
Donald Crabtree
Gloria Cramer Curtis
Gordon B. Clarke
Jackie Gleason
Jake LaMotta
Michael Constantine
Myron McCormick
Piper Laurie
Sid Raymond
Stefan Gierasch
Tom Aheame
Tom Ahearne
Vincent Gardenia
William Adams
Willie Mosconi
Sidney Carroll
Donald Wolfit
Fernando Sancho
Gamil Ratib
Harry Fowler
Henry Oscar
Howard Marion-Crawford
Hugh Miller
I.S. Johar
Jack Gwillim
Jack Hedley
John Dimech
Kenneth Fortescue
M. Cher Kaoui
Michael Ray
Michel Ray
Mohammed Habachi
Norman Rossington
Omar Sharif
Stuart Saunders
Zia Mohyeddin
Peter OToole
Robert Bolt
Alexander Knox
Alice Tissot
Allen Swift
Arletty
Bernhard Wicki
Bill Nagy
Bourvil
Christian Marquand
Curd Jürgens
Daniel Gélin
Darryl F. Zanuck
David Pursall
Dewey Martin
Dietmar Schoenherr
Dietmar Schönherr
Donald Houston
Ernst Schroeder
Eugene Deckers
Fabian
Fernand Ledoux
Frank Finlay
Françoise Rosay
Fred Durr
George Segal
Georges Rivière
Georges Wilson
Gerd Oswald
Gert Fröbe
Heinz Reincke
Heinz Spitzner
Henry W. Grace
Irina Demick
Jack Seddon
Jean Servais
Jean-Louis Barrault
Jeffrey Hunter
Jo DAvra
John Gregson
John Robinson
Karl John
Kenneth More
Kurt Meisel
Kurt Pecher
Louis Mounier
Lyndon Brook
Madeleine Renaud
Mark Damon
Maurice Poli
Mel Ferrer
Michael Beint
Michael Hinz
Michael Medwin
Neil McCallum
Nicholas Stuart
Nick Stuart
Patrick Barr
Paul Anka
Paul Edwin Roth
Paul Hartmann
Pauline Carton
Peter Helm
Peter van Eyck
Rainer Penkert
Ray Danton
Red Buttons
Richard Münch
Richard Todd
Robert Wagner
Romain Gary
Ron Randell
Ruth Hausmeister
Sean Connery
Sian Phillips
Steve Forrest
Stuart Whitman
Til Kiwe
Tom Tryon
Tommy Sands
Trevor Reid
Werner Hinz
Wolfgang Buttner
Wolfgang Lukschy
Wolfgang Preiss
Cornelius Ryan
Ken Annakin
Anne Loos
Arthur Mills
Buddy Hackett
David Swain
Delos Jewkes
Ewart Dunlop
Garry Potter
Harry Hickox
Jacey Squires
Jeannine Burnier
Jesslyn Fax
Mary Wickes
Max Showalter
Monique Vermont
Natalie Core
Natalie Masters
Olin Britt
Oliver Hix
Patty Lee Hilka
Peggy Mondo
Peggy Wynne
Penelope Martin
Pert Kelton
Rance Howard
Rand Barker
Ray Kellogg
Ron Howard
Ronnie Dapo
Roy Dean
Shirley Claire
Shirley Jones
Susan Luckey
The Buffalo Bills
Timmy Everett
William Fawcett
Marion Hargrove
Robert Preston
Ben Wright
Carol Reed
Eddie Byrne
Frank Silvera
Gordon Jackson
Keith McConnell
Matahiarii Tama
Noel Purcell
Richard Haydn
Tarita
Tim Seely
Yvon Arai
Aaron Rosenberg
Charles Lederer
Alan J. Pakula
Avis Bunnage
David Tomlinson
David Warner
Freda Jackson
George A. Cooper
George Devine
James Cairncross
James Jackson
Joan Greenwood
John Moffatt
Joyce Redman
Julian Glover
Lynn Redgrave
Mark Dignam
Michael MacLiammoir
Patsy Rowlands
Peter Bull
Rachel Kempson
Redmond Phillips
Rosalind Atkinson
Rosalind Knight
Susannah York
Wilfrid Lawson
Albert Finney
John Osborne
Tony Richardson
Elena Karam
Estelle Hemsley
Frank Wolff
Gregory Rozakis
Harry Davis
Joanna Frank
John Marley
Katharine Balfour
Katherine Balfour
Linda Marsh
Lou Antonio
Paul Mann
Salem Ludwig
Stathis Giallelis
Andrew Faulds
Andrew Keir
Carroll OConnor
Cesare Danova
Del Russell
Douglas Wilmer
Francesca Annis
Furio Meniconi
George Cole
Gesa Meiken
Gin Mart
Grégoire Aslan
Gwen Watford
Herbert Berghof
Hume Cronyn
Isabel Cooley
Isabelle Cooley
Jacqui Chan
Jean Marsh
Jeremy Kemp
John Alderton
John Cairney
John Gayford
John Karlsen
John Valva
Kathy Martin
Kenneth Haigh
Kenneth Nash
Laurence Naismith
Loris Loddi
Maria Badmajev
Marie Devereaux
Marie Devereux
Marne Maitland
Martin Landau
Maureen Lane
Michael Gwynn
Michael Hordern
Michele Bally
Pamela Brown
Peter Forster
Robert Stephens
Simon Mizrahi
Walter Wanger
Dan Frazer
Francesca Jarvis
Isa Crino
Lilia Skala
Lisa Mann
Pamela Branch
Ralph Nelson
Stanley Adams
David Weston
Edward Woodward
Frank Pettingell
Geoffrey Bayldon
Gerald Lawson
Gino Cervi
Gino Servi
Graham Stark
Hamilton Dyce
Inigo Jackson
Jean Anouilh
Jennifer Hilary
John Phillips
Linda Marlowe
Magda Knopke
Martita Hunt
Paolo Stoppa
Patrick Newell
Peter Jeffrey
Riggs OHara
Victor Spinetti
Véronique Vendell
Edward Anhalt
Peter Glenville
Stanley Kubrick
Alma Lawton
Arthur Malet
Bill Walsh
Clive L. Halliday
Cyril Delevanti
Dal McKennon
Dick Van Dyke
Donald Barclay
Hermione Baddeley
Irwin Kostal
James Logan
Karen Dotrice
Marjorie Bennett
Matthew Garber
Don DaGradi
Julie Andrews
Robert Stevenson
Walt Disney and Bill Walsh
Alan Bates
Anna Kyriakou
Eleni Anousaki
George Voyadjis
Georges Foundas
Lila Kedrova
Sotiris Moustakas
Takis Emmanuel
Yorgo Voyagis
Michael Cacoyannis
Angela Cartwright
Charmian Carr
Christopher Plummer
Daniel Truhitte
Debbie Turner
Duane Chase
Eleanor Parker
Evadne Baker
Gilchrist Stuart
Heather Menzies
Kym Karath
Nicholas Hammond
Portia Nelson
Alex Scott
Angus MacKay
Ann Firbank
Annette Carell
Annette Carroll
Basil Henson
Brian Wilde
Carlo Palmucci
Dante Posani
David Harrison
Dirk Bogarde
Ernst Walder
Georgina Cookson
Helen Lindsay
Helen Stirling
Hugo Dixon
Hugo Dyson
Irene Richmond
James Cossins
Jane Downes
John G. Heller
John Heller
José Luis de Vilallonga
José Luis de Villalonga
Lucille Soong
Lydia Sherwood
Margaret Gordon
Marika Rivera
Pauline Yates
Peter Bayliss
Richard Bidlake
Roland Curram
Sidonie Bond
Trevor Bowen
Tyler Butterworth
Umberto Raho
Frederic Raphael
John Schlesinger
Joseph Janni
Julie Christie
Adrienne Corri
Bernard Kay
Brigitte Trace
Catherine Ellison
Dodo Assad Bahador
Erik Chitty
Geoffrey Keen
Geraldine Chaplin
Gerhard Jersch
Gwen Nelson
Gérard Tichy
Jeffrey Rockland
José María Caffarel
José Nieto
Lili Murati
Luana Alcaniz
Lucy Westmore
Maria Vico
Mark Eden
María Martín
Mercedes Ruiz
Noel Willman
Peter Madden
Rita Tushingham
Roger Maxwell
Siobhan McKenna
Tarek Sharif
Tom Courtenay
Virgilio Texeira
Wolf Frees
Carlo Ponti
Alf Kjellin
Anthony Brand
Barbara Luna
Bert Rumsey
Charles H. Radilac
Charles Korvin
Charles de Vries
Christiane Schmidtmer
David Renard
Elizabeth Ashley
Gila Golan
Heinz Rühmann
Henry Calvin
Jon Alvar
Jose Santiago Martinez
Justo Robles Quintero
Lydia Torea
Maribel DeCirez Garcia
Michael Dunn (I)
Olga Fabian
Oscar Beregi
Oscar Beregi Jr.
Paul Daniel
Rudy Carrella
Silvia Marino
Walter Friedel
Werner Klemperer
Abby Mann
Simone Signoret
Fred Coe
Anthony Nicholls
Colin Blakely
Constance Willis
Corin Redgrave
Cyril Luckham
Eira Heath
Eric Mason
John Hurt
John Nettleton
Leo McKern
Martin Boddey
Matt Zimmerman
Matt Zinneman
Michael Latimer
Nigel Davenport
Paul Hardwick
Philip Brack
Robert Shaw
Thomas Heathcote
Vanessa Redgrave
Yootha Joyce
Paul Scofield
Alfie Bass
Denholm Elliott
Eleanor Bron
Jane Asher
Julia Asher
Julia Foster
Millicent Martin
Murray Melvin
Shirley Ann Field
Sydney Tafler
Virginia Wetherell
Vivien Merchant
Bill Naughton
Lewis Gilbert
Michael Caine
Alan Arkin
Alex Hassilev
Andrea Dromm
Ben Blue
Brian Keith
Cindy Putnam
Cliff Norton
Constantine Baksheef
Danny Klega
Gino Gottarelli
Guy Raymond
John Phillip Law
Johnny Whitaker
Jonathan Winters
Michael J. Pollard
Milos Milos
Nathaniel Benchley
Nikita Knatz
