"name","dept","area","count","adjustedcount","year"
Florian Shkurti,University of Toronto,icra,1.0,0.5,2013
Maneesh Agrawala,Stanford University,vis,2.0,1.0,2006
Xiang Zhang 0001,Pennsylvania State University,kdd,1.0,0.33333,2008
Hadi Hosseini,Pennsylvania State University,ijcai,1.0,0.33333,2020
Ee-Peng Lim,Singapore Management University,www,1.0,0.33333,2017
Ramin Zabih,Cornell University,iccv,2.0,0.83333,2003
Wenliang Du,Syracuse University,ccs,1.0,0.11111,2015
Jianwei Zhang 0001,University of Hamburg,iros,3.0,0.81111,2014
Xiaoyong Du 0001,Renmin University of China,sigmod,1.0,0.14286,2017
Yuri Rabinovich,University of Haifa,stoc,1.0,0.33333,1995
Michael Zakharyaschev,Birkbeck University of London,lics,1.0,0.25,2014
Rachata Ausavarungnirun,KMUTNB,isca,1.0,0.090909,2019
Chris Harrison 0001,Carnegie Mellon University,ubicomp,2.0,0.6,2019
Joachim M. Buhmann,ETH Zurich,cvpr,1.0,0.5,2001
Murat A. Erdogdu,University of Toronto,nips,1.0,0.33333,2018
Haikun Liu,HUST,sc,2.0,0.28571,2021
Rama Chellappa,Johns Hopkins University,cvpr,2.0,0.66667,1998
Sebastian Forster,University of Salzburg,stoc,1.0,0.33333,2016
Andrea C. Arpaci-Dusseau,University of Wisconsin - Madison,sosp,1.0,0.5,2001
Jaesik Choi,KAIST,icra,1.0,0.5,2009
Ada Gavrilovska,Georgia Institute of Technology,eurosys,1.0,0.33333,2016
Ari Juels,Cornell University,usenixsec,1.0,1.0,2004
Jing Gao 0004,University at Buffalo,kdd,5.0,0.75952,2018
Andy Hopper,University of Cambridge,ubicomp,1.0,0.5,2003
Robert W. Lindeman,University of Canterbury,vr,1.0,0.33333,2008
Alaa R. Alameldeen,Simon Fraser University,isca,1.0,0.16667,2011
Gordon Wetzstein,Stanford University,siggraph,2.0,0.58333,2014
Yair Bartal,Hebrew University of Jerusalem,soda,1.0,0.33333,2007
Talal Rahwan,Masdar Institute,aaai,1.0,0.33333,2019
Mona Singh 0001,Princeton University,recomb,1.0,0.5,2001
Matthew R. Walter,TTI Chicago,icra,1.0,0.25,2014
Won Hwa Kim,POSTECH,cvpr,1.0,0.2,2015
Yishay Mansour,Tel Aviv University,focs,3.0,0.91667,1995
William J. Dally,Stanford University,asplos,1.0,0.2,2000
Matthias Englert,University of Warwick,stoc,1.0,0.33333,2007
Ronald de Wolf,CWI,soda,1.0,0.25,2016
Dimitrios S. Nikolopoulos,Virginia Tech,sc,1.0,0.25,2017
Pawel Urzyczyn,University of Warsaw,lics,1.0,0.33333,1987
Anurag Mittal,IIT Madras,cvpr,1.0,0.25,2017
Eduardo Sany Laber,PUC-RIO,icml,1.0,0.33333,2019
Rajeev Goré,Australian National University,oakland,1.0,0.33333,2021
Karem A. Sakallah,University of Michigan,iccad,1.0,0.33333,2001
Alysson Neves Bessani,Universidade de Lisboa,eurosys,1.0,0.2,2015
Per Austrin,KTH Royal Institute of Technology,soda,1.0,0.33333,2021
Rob Miller 0001,Massachusetts Institute of Technology,chiconf,1.0,0.14286,2002
Srinivas Devadas,Massachusetts Institute of Technology,dac,2.0,0.66667,1991
Rajiv Gupta 0001,Univ. of California - Riverside,icse,1.0,0.33333,1996
Baishakhi Ray,Columbia University,nips,1.0,0.2,2019
Thad Starner,Georgia Institute of Technology,chiconf,4.0,1.3429,2010
Omer Reingold,Stanford University,focs,1.0,0.5,1997
Roderic A. Grupen,University of Massachusetts Amherst,icra,1.0,0.33333,2008
Hyungsoo Jung,Hanyang University,icde,1.0,0.16667,2014
Kate Ching-Ju Lin,National Chiao Tung University,mobisys,1.0,0.125,2018
Victoria Interrante,University of Minnesota,vis,1.0,0.33333,1995
Joshua R. Smith 0001,University of Washington,ubicomp,1.0,0.2,2006
Kathy McKeown,Columbia University,aaai,1.0,0.2,1992
Vincent Conitzer,Carnegie Mellon University,ijcai,1.0,0.5,2015
Dani Lischinski,Hebrew University of Jerusalem,vis,1.0,0.5,2001
Devavrat Shah,Massachusetts Institute of Technology,nips,1.0,0.33333,2011
Mike Y. Chen,National Taiwan University,uist,1.0,0.125,2016
Artur Czumaj,University of Warwick,stoc,2.0,1.3333,2015
Carey L. Williamson,University of Calgary,sigmetrics,1.0,0.25,2008
Mihir Bellare,Univ. of California - San Diego,crypto,2.0,0.83333,1997
Nils Anders Danielsson,Chalmers/GU,popl,1.0,1.0,2008
Julia Kempe,New York University,focs,1.0,0.25,2007
Satoru Iwata 0001,University of Tokyo,soda,1.0,0.5,2020
Alistair Sinclair,Univ. of California - Berkeley,stoc,1.0,0.5,2015
Alon Orlitsky,Univ. of California - San Diego,focs,1.0,0.33333,2003
Lukasz A. Kurgan,Virginia Commonwealth University,ismb,1.0,0.5,2011
Sebastian Padó,University of Stuttgart,acl,2.0,0.83333,2010
Willy Zwaenepoel,University of Sydney,sosp,1.0,0.33333,1991
Hans Hagen,TU Kaiserslautern,vis,1.0,0.33333,1990
Ali Shokoufandeh,Drexel University,eccv,1.0,0.2,2004
Damon McCoy,New York University,imc,1.0,0.2,2011
Satish Rao,Univ. of California - Berkeley,icml,1.0,0.2,2017
Anthony Wirth,University of Melbourne,www,1.0,0.33333,2018
Hojung Cha,Yonsei University,ubicomp,1.0,0.5,2011
Yuriy Brun,University of Massachusetts Amherst,fse,1.0,0.33333,2017
Fei Fang,Carnegie Mellon University,aaai,2.0,0.25397,2016
Amitabha Bagchi,IIT Delhi,vldb,1.0,0.2,2015
Anh Tuan Luu,Nanyang Technological University,acl,2.0,0.23611,2019
Jing Xiao 0001,Worcester Polytechnic Institute,icra,1.0,0.33333,1994
Shirish K. Shevade,IISc Bangalore,icml,1.0,0.33333,2007
Shie Mannor,Technion,icml,5.0,1.5333,2021
Luigi Palopoli,University of Trento,ijcai,1.0,0.33333,2003
Mark W. Newman,University of Michigan,ubicomp,1.0,0.25,2010
Kun Zhou 0001,Zhejiang University,siggraph-asia,2.0,0.75,2011
Roy Fox,Univ. of California - Irvine,nips,1.0,0.25,2013
Hongfeng Yu,University of Nebraska,sc,1.0,0.066667,2012
Long Quan,HKUST,iccv,1.0,1.0,1995
Hong Cheng 0001,Chinese University of Hong Kong,kdd,1.0,0.125,2008
Hao Zhang 0011,Colorado School of Mines,iros,1.0,0.5,2011
Xiaoli Li 0001,Nanyang Technological University,ijcai,2.0,0.5,2017
Seth Hutchinson 0001,Georgia Institute of Technology,iros,2.0,0.75,2011
Neil Zhenqiang Gong,Duke University,aaai,3.0,1.0,2021
Chi-Wing Fu,Chinese University of Hong Kong,siggraph,1.0,0.16667,2015
Guo-Jun Qi,University of Central Florida,www,1.0,0.33333,2011
Ross M. McConnell,Colorado State University,soda,1.0,0.25,2003
Virpi Roto,Aalto University,chiconf,1.0,0.071429,2017
Hau Chan,University of Nebraska,aaai,1.0,0.33333,2017
Tuomas Sandholm,Carnegie Mellon University,aaai,5.0,2.1667,2004
Ryan P. Adams,Princeton University,nips,2.0,0.53333,2016
Mingyu Guo,University of Adelaide,ijcai,1.0,0.5,2013
Jia Zou 0001,Arizona State University,vldb,1.0,0.14286,2015
Benjamin C. Pierce,University of Pennsylvania,issta,1.0,0.33333,2021
S. V. N. Vishwanathan,Univ. of California - Santa Cruz,kdd,1.0,0.25,2007
Jaikumar Radhakrishnan,Tata Inst. of Fundamental Research,stoc,1.0,0.25,2000
Sylvia Ratnasamy,Univ. of California - Berkeley,nsdi,2.0,0.45,2016
Vasileios Giotsas,Lancaster University,imc,1.0,0.2,2013
Sonia Chiasson,Carleton University,usenixsec,1.0,0.2,2021
Kevin G. Jamieson,University of Washington,nips,1.0,0.25,2020
Jun Zhao 0001,Chinese Academy of Sciences,emnlp,2.0,0.58333,2016
Frank Neumann 0001,University of Adelaide,cvpr,1.0,0.25,2016
Atif M. Memon,University of Maryland - College Park,ase,1.0,0.5,2007
Kin K. Leung,Imperial College London,icde,1.0,0.14286,2020
Erez Petrank,Technion,oopsla,1.0,0.5,2015
Michael R. Lyu,Chinese University of Hong Kong,emnlp,1.0,0.2,2013
Junfeng Yang,Columbia University,osdi,1.0,0.1,2016
Mukund Raghothaman,University of Southern California,aaai,1.0,0.25,2021
Shuai Li 0010,Shanghai Jiao Tong University,icml,1.0,0.25,2016
Haitham Hassanieh,Univ. of Illinois at Urbana-Champaign,sigcomm,2.0,0.36667,2018
Michael J. Paul,University of Colorado Boulder,emnlp,1.0,0.5,2009
Jianliang Xu,Hong Kong Baptist University,sigmod,1.0,0.25,2012
Jimmy Ho-Man Lee,Chinese University of Hong Kong,aaai,2.0,0.75,2002
Kai Zheng 0001,UESTC,icde,4.0,0.65238,2016
Mehdi Baradaran Tahoori,Karlsruhe Institute of Technology,iccad,1.0,0.2,2016
Yongxin Yang,University of Surrey,aaai,1.0,0.33333,2017
Josep Torrellas,Univ. of Illinois at Urbana-Champaign,sc,1.0,0.25,2019
Chunhua Shen,Zhejiang University,eccv,2.0,0.36667,2018
Mi Zhang 0002,Michigan State University,sensys,1.0,0.33333,2021
Lerrel Pinto,New York University,iros,1.0,0.25,2021
Omid Abari,Univ. of California - Los Angeles,sigcomm,1.0,0.33333,2021
Vitaly Shmatikov,Cornell University,nsdi,1.0,0.2,2007
Jean-Charles Bazin,KAIST,icra,1.0,0.25,2009
Ihab F. Ilyas,University of Waterloo,vldb,1.0,0.25,2020
Edith Hemaspaandra,Rochester Institute of Technology,ijcai,1.0,0.5,2021
Mubbasir Kapadia,Rutgers University,cvpr,1.0,0.2,2020
Jingjin Yu,Rutgers University,rss,1.0,0.25,2015
Shriram Krishnamurthi,Brown University,icfp,1.0,0.25,2009
Mendel Rosenblum,Stanford University,nsdi,1.0,0.14286,2018
Jianping Wu,Tsinghua University,oakland,1.0,0.16667,2014
Sadao Kurohashi,Kyoto University,acl,2.0,0.66667,2017
Shaohui Liu,Harbin Institute of Technology,iccv,2.0,0.325,2019
Omer Reingold,Stanford University,stoc,1.0,0.33333,1998
Michael Kifer,Stony Brook University,vldb,1.0,0.33333,2002
John Regehr,University of Utah,pldi,1.0,0.14286,2013
Margaret M. Burnett,Oregon State University,chiconf,1.0,0.2,1997
Yong Zhao 0009,UESTC,sc,1.0,0.2,2007
Wangmeng Zuo,Harbin Institute of Technology,cvpr,8.0,1.6595,2019
Zhiping Jia,Shandong University,dac,1.0,0.14286,2020
Shenghua Gao,ShanghaiTech University,nips,1.0,0.14286,2020
Sepehr Assadi,Rutgers University,soda,1.0,0.5,2018
Christian Kästner,Carnegie Mellon University,fse,1.0,0.33333,2014
Volkan Isler,University of Minnesota,icra,2.0,1.0,2008
David S. Doermann,University at Buffalo,cvpr,1.0,0.16667,2021
Cathy H. Wu,University of Delaware,ismb,1.0,0.25,1993
Daniel Wichs,Northeastern University,focs,1.0,0.33333,2018
Ben Y. Zhao,University of Chicago,nsdi,1.0,0.2,2010
Markulf Kohlweiss,University of Edinburgh,ccs,1.0,0.2,2006
Albert C. S. Chung,HKUST,eccv,1.0,0.5,2010
Anurag Mittal,IIT Madras,iccv,1.0,0.25,2003
Ron Alterovitz,University of North Carolina,icra,2.0,0.83333,2010
Daniel Lokshtanov,Univ. of California - Santa Barbara,ijcai,1.0,0.16667,2009
Yasushi Sakurai,Osaka University,vldb,1.0,0.25,2000
Jean Honorio,Purdue University,icml,1.0,0.5,2018
Deepak Ganesan,University of Massachusetts Amherst,mobisys,2.0,0.4,2014
Leif Kobbelt,RWTH Aachen,siggraph,1.0,1.0,2000
Brittany Terese Fasy,Montana State University,soda,1.0,0.16667,2014
Carlotta Domeniconi,George Mason University,kdd,1.0,0.33333,2006
Lillian Lee,Cornell University,acl,1.0,0.33333,1993
Lin Wang 0015,VU Amsterdam,asplos,1.0,0.25,2021
Shengdong Zhao,National University of Singapore,rss,1.0,0.25,2017
Jörg Schwenk,Ruhr-University Bochum,oakland,1.0,0.25,2017
Xin Wang 0019,Tsinghua University,aaai,1.0,0.125,2020
Hanspeter Pfister,Harvard University,siggraph,1.0,0.16667,2002
Wilfred Ng,HKUST,icde,1.0,0.25,2019
Rahul Santhanam,University of Oxford,stoc,3.0,1.3333,2021
Alvin R. Lebeck,Duke University,sc,1.0,0.33333,1998
Philip S. Yu,University of Illinois at Chicago,aaai,2.0,0.34286,2021
Makoto Yamada,Kyoto University,ismb,1.0,0.25,2019
Stephen Gould,Australian National University,cvpr,1.0,0.2,2019
Mustaque Ahamad,Georgia Institute of Technology,www,1.0,0.14286,2018
Karon E. MacLean,University of British Columbia,chiconf,1.0,0.25,2013
Craig B. Zilles,Univ. of Illinois at Urbana-Champaign,hpca,1.0,0.5,2008
Fei-Fei Li 0001,Stanford University,nips,2.0,0.33333,2019
Vincenzo Caglioti,Politecnico di Milano,eccv,1.0,0.5,2006
John M. Hollerbach,University of Utah,icra,1.0,0.5,2002
Tegan Brennan,Stevens Institute of Technology,fse,1.0,0.14286,2018
Jiawei Han 0001,Univ. of Illinois at Urbana-Champaign,icml,1.0,0.33333,2016
Dan Geiger,Technion,ismb,1.0,0.25,2010
Yehuda Lindell,Bar-Ilan University,kdd,1.0,0.5,1999
Fei Xie,Portland State University,dac,2.0,0.58333,2013
Michael Wiegand,University of Klagenfurt,naacl,1.0,0.33333,2021
Fedor V. Fomin,University of Bergen,aaai,2.0,0.75,2020
Shangwei Lin 0001,Nanyang Technological University,fse,1.0,0.25,2020
Jonathan Aldrich,Carnegie Mellon University,icse,1.0,0.33333,2002
M. S. Ramanujan 0001,University of Warwick,soda,1.0,0.2,2015
Kirill Levchenko,Univ. of Illinois at Urbana-Champaign,www,1.0,0.25,2014
Yang Cai 0001,Yale University,ec,1.0,0.5,2019
Boualem Benatallah,UNSW,icse,1.0,0.25,2007
Stavros Tripakis,Northeastern University,lics,1.0,0.5,2016
Justine Sherry,Carnegie Mellon University,nsdi,1.0,0.25,2014
Carl A. Gunter,Univ. of Illinois at Urbana-Champaign,lics,1.0,1.0,1986
Max Mühlhäuser,TU Darmstadt,sigmetrics,1.0,0.5,1983
Xuehai Qian,University of Southern California,osdi,1.0,0.16667,2016
John Shawe-Taylor,University College London,nips,6.0,2.25,2002
Maria Polukarov,King's College London,ijcai,2.0,0.45,2016
Michael Brudno,University of Toronto,aaai,1.0,0.33333,2004
Christos Faloutsos,Carnegie Mellon University,kdd,2.0,0.45,2019
Shafi Goldwasser,Univ. of California - Berkeley,ndss,1.0,0.25,2015
Tong Zhang 0001,HKUST,eccv,7.0,1.1123,2018
Ding Yuan,University of Toronto,icra,1.0,0.5,2003
Deepak Vasisht,Univ. of Illinois at Urbana-Champaign,sigcomm,1.0,0.33333,2014
Mark Pauly,EPFL,siggraph,1.0,0.25,2018
Franco M. Luque,Universidad Nacional de Córdoba,emnlp,1.0,0.16667,2021
Koen Claessen,Chalmers/GU,icfp,1.0,0.5,2015
Takeo Kanade,Carnegie Mellon University,cvpr,1.0,0.5,1997
Dan Roth,University of Pennsylvania,www,1.0,0.5,2009
Jean Meunier,University of Montreal,eccv,1.0,0.25,2000
Yong Yu 0001,Shanghai Jiao Tong University,ijcai,1.0,0.14286,2018
Soonhoi Ha,Seoul National University,dac,2.0,0.36667,2014
Mitsuhisa Sato,University of Tsukuba,sc,1.0,0.125,1997
Nael B. Abu-Ghazaleh,Univ. of California - Riverside,asplos,1.0,0.14286,2021
Swarun Kumar,Carnegie Mellon University,rss,1.0,0.2,2015
Yuhao Zhu 0001,University of Rochester,cvpr,1.0,0.25,2020
Ragunathan Rajkumar,Carnegie Mellon University,rtss,1.0,0.25,2008
Mostafa H. Ammar,Georgia Institute of Technology,imc,1.0,0.33333,2008
Pheng-Ann Heng,Chinese University of Hong Kong,vis,1.0,0.33333,1990
Boriana Koleva,University of Nottingham,chiconf,1.0,0.25,2014
Kent Quanrud,Purdue University,focs,1.0,0.5,2017
Donald P. Greenberg,Cornell University,siggraph,1.0,0.33333,1987
Chia-Heng Tu,National Cheng Kung University,sc,1.0,0.16667,2009
Jing Xiao 0001,Worcester Polytechnic Institute,icra,1.0,0.5,2002
Brad A. Myers,Carnegie Mellon University,icse,1.0,0.33333,2007
James W. Mickens,Harvard University,usenixatc,1.0,0.25,2009
Maurice Herlihy,Brown University,focs,1.0,0.5,2000
Chinya V. Ravishankar,Univ. of California - Riverside,sigmod,1.0,0.5,1994
Khuzaima Daudjee,University of Waterloo,vldb,1.0,0.33333,2010
Alexandru Nicolau,Univ. of California - Irvine,pldi,1.0,0.5,1988
Shaogang Gong,Queen Mary University of London,cvpr,1.0,0.16667,2019
Yunhai Tong,Peking University,aaai,3.0,0.43333,2020
Jaakko Lehtinen,Aalto University,siggraph,1.0,0.33333,2016
Rui Zhang 0037,Pennsylvania State University,aaai,1.0,0.25,2018
Tat-Seng Chua,National University of Singapore,ijcai,2.0,0.36667,2015
Xinyu Wang 0001,Zhejiang University,ase,2.0,0.36667,2018
Vladimir Lifschitz,University of Texas at Austin,ijcai,1.0,0.33333,2013
Shahar Dobzinski,Weizmann Institute of Science,ec,1.0,0.33333,2021
Zhen-Zhong Lan,Westlake University,emnlp,1.0,0.0625,2021
Sartaj Sahni,University of Florida,dac,1.0,0.25,1992
Haixu Tang,Indiana University,ndss,1.0,0.14286,2019
Kyungdon Joo,UNIST,icra,2.0,0.4,2020
Peng Liu 0005,Pennsylvania State University,sensys,1.0,0.125,2016
Boi Faltings,EPFL,ijcai,2.0,0.58333,2019
Xiaoru Yuan,Peking University,vis,1.0,0.14286,2010
Preslav Nakov,Qatar Computing Research Institute,acl,2.0,0.83333,2016
Barzan Mozafari,University of Michigan,vldb,1.0,0.2,2014
Xiaoyun Wang 0001,Tsinghua University,eurocrypt,1.0,0.2,2017
Ziqiang Cao,Soochow University,acl,1.0,0.25,2014
Luca Benini,ETH Zurich,dac,1.0,0.16667,2004
Bettina Kemme,McGill University,vldb,1.0,0.33333,2018
Michael J. Freedman,Princeton University,usenixsec,1.0,0.16667,2006
Leonard M. Adleman,University of Southern California,focs,1.0,1.0,1978
Nicola Gatti 0001,Politecnico di Milano,icml,2.0,0.5,2021
Rosario Gennaro,CUNY,ccs,1.0,0.33333,1998
Andrew A. Chien,University of Chicago,sc,1.0,0.2,2016
Josep Torrellas,Univ. of Illinois at Urbana-Champaign,isca,2.0,0.83333,2003
Lingfei Wu,University of Pittsburgh,nips,1.0,0.2,2019
Heng Ji,Univ. of Illinois at Urbana-Champaign,cvpr,1.0,0.2,2021
Chao Chen 0012,Stony Brook University,icml,1.0,0.5,2016
K. Gopinath,IISc Bangalore,sigmetrics,1.0,0.25,2012
Bernd Bickel,IST Austria,siggraph-asia,2.0,0.45,2016
Justin Hsu,Cornell University,popl,2.0,0.5,2019
Anastasia Ailamaki,EPFL,icde,2.0,0.5,2004
Russ Tedrake,Massachusetts Institute of Technology,icra,3.0,1.3333,2020
Song Jiang,University of Texas at Arlington,usenixatc,2.0,0.36667,2017
C.-C. Jay Kuo,University of Southern California,kdd,1.0,0.25,2014
Andrew McCallum,University of Massachusetts Amherst,icml,1.0,0.25,2019
Lorrie Faith Cranor,Carnegie Mellon University,pets,1.0,0.14286,2018
Jiaheng Lu,University of Helsinki,icde,2.0,0.5,2009
Robert J. K. Jacob,Tufts University,chiconf,1.0,0.16667,2012
Kai Yu 0004,Shanghai Jiao Tong University,acl,1.0,0.16667,2021
Paul Pearce,Georgia Institute of Technology,usenixsec,1.0,0.1,2020
T. M. Murali 0001,Virginia Tech,soda,1.0,0.2,1998
Jonathan Katz,University of Maryland - College Park,ccs,1.0,0.33333,2014
Carsten Steger,TU Munich,iccv,1.0,1.0,1999
Ramesh C. Jain,Univ. of California - Irvine,cvpr,1.0,0.5,1996
Yeong-Gil Shin,Seoul National University,vis,1.0,0.5,1995
Ngai-Man Cheung,SUTD,aaai,1.0,0.25,2018
Miryung Kim,Univ. of California - Los Angeles,fse,1.0,0.25,2005
Vladimir Braverman,Johns Hopkins University,sigcomm,1.0,0.125,2021
Ming-Hsuan Yang 0001,Univ. of California - Merced,iros,1.0,0.25,2004
José Camacho-Collados,Cardiff University,emnlp,2.0,0.75,2020
James Aspnes,Yale University,soda,1.0,0.2,2014
Moshe Y. Vardi,Rice University,pods,2.0,1.5,1988
Björn Franke,University of Edinburgh,pldi,1.0,0.25,2009
Arthur Gervais,Imperial College London,usenixsec,1.0,0.125,2017
Vivek Srikumar,University of Utah,acl,3.0,0.83333,2020
Yang Richard Yang,Yale University,nsdi,1.0,0.16667,2010
Klara Nahrstedt,Univ. of Illinois at Urbana-Champaign,ubicomp,1.0,0.33333,2016
Christian Kästner,Carnegie Mellon University,icse,1.0,0.14286,2012
Jianwei Zhang 0001,University of Hamburg,icra,2.0,0.83333,1998
Yi-King Choi,University of Hong Kong,icra,1.0,0.2,2006
Kai Ming Ting,Nanjing University,icml,1.0,1.0,1996
Davi Geiger,New York University,eccv,1.0,0.5,1998
Mani B. Srivastava,Univ. of California - Los Angeles,dac,1.0,0.5,1996
Seiji Yamada,Tokyo Institute of Technology,chiconf,1.0,0.2,2018
Gennady L. Andrienko,City University of London,vis,1.0,0.14286,2020
Jonathan Berant,Tel Aviv University,emnlp,3.0,1.1667,2019
Robert Strzodka,Heidelberg University,ics,1.0,0.25,2010
Martin Ester,Simon Fraser University,icde,2.0,0.58333,2000
Hengchang Liu,UESTC,rtss,1.0,0.090909,2014
Yun Fu 0001,Northeastern University,nips,1.0,0.5,2017
Wolfgang Gatterbauer,Northeastern University,vldb,1.0,0.25,2010
Ligang Liu,USTC,siggraph,3.0,0.54167,2018
Paul Tennent,University of Nottingham,ubicomp,1.0,0.14286,2005
Arno Solin,Aalto University,icml,2.0,0.41667,2020
Xiaoyang Sean Wang,Fudan University,aaai,1.0,0.2,2019
Songhwai Oh,Seoul National University,icra,2.0,0.58333,2005
Hemanta K. Maji,Purdue University,focs,1.0,0.33333,2010
Eric Paulos,Univ. of California - Berkeley,chiconf,2.0,0.83333,2013
Lijun Chen 0001,University of Colorado Boulder,iros,1.0,0.25,2018
Joseph Gonzalez 0001,Univ. of California - Berkeley,cvpr,1.0,0.11111,2018
Han Zhao 0002,Univ. of Illinois at Urbana-Champaign,ijcai,1.0,0.33333,2015
Stefan Savage,Univ. of California - San Diego,fast,2.0,0.47619,2012
Mohit Iyyer,University of Massachusetts Amherst,icml,1.0,0.11111,2016
Zihan Zhou 0001,Pennsylvania State University,eccv,2.0,0.5,2020
João Marques-Silva 0001,Universidade de Lisboa,aaai,1.0,0.25,2021
Siddhartha Banerjee,Cornell University,ijcai,1.0,0.33333,2015
Mani B. Srivastava,Univ. of California - Los Angeles,sensys,1.0,0.090909,2004
Hung-Wei Tseng 0001,Univ. of California - Riverside,vldb,1.0,0.2,2016
Nathan Schneider 0001,Georgetown University,naacl,1.0,0.5,2015
Jack Sampson,Pennsylvania State University,isca,1.0,0.25,2014
Suranga Seneviratne,University of Sydney,www,1.0,0.2,2015
Michael Maire,University of Chicago,eccv,1.0,0.125,2014
Sushant Sachdeva,University of Toronto,stoc,1.0,0.2,2017
Arun Kumar 0001,Univ. of California - San Diego,vldb,1.0,0.5,2019
Zhi-Li Zhang,University of Minnesota,imc,1.0,0.11111,2014
Pierre Bourhis,CRIStAL,lics,2.0,0.58333,2016
Yunheung Paek,Seoul National University,dac,1.0,0.16667,2020
Koushik Sen,Univ. of California - Berkeley,fse,1.0,0.2,2019
Xiaozhong Liu,Worcester Polytechnic Institute,emnlp,2.0,0.44444,2018
John F. Canny,Univ. of California - Berkeley,sigir,1.0,1.0,2002
Richard Hughey,Univ. of California - Santa Cruz,ismb,1.0,0.33333,1995
Richard Mann,University of Waterloo,iccv,1.0,0.5,1999
Bradley T. Vander Zanden,University of Tennessee,uist,1.0,0.33333,2004
Bin Cui 0001,Peking University,vldb,1.0,0.25,2019
Mirella Lapata,University of Edinburgh,acl,5.0,2.0,2019
Fabio Zambetta,RMIT University,chiconf,1.0,0.14286,2020
Jan O. Borchers,RWTH Aachen,chiconf,1.0,0.2,2011
Masamichi Shimosaka,Tokyo Institute of Technology,icra,2.0,0.4,2012
Jiawei Han 0001,Univ. of Illinois at Urbana-Champaign,www,2.0,0.45,2015
Sharad Mehrotra,Univ. of California - Irvine,vldb,1.0,0.33333,2004
Balaraman Ravindran,IIT Madras,icml,1.0,0.5,2008
Jaroslaw Byrka,University of Wroclaw,wine,1.0,0.33333,2007
Manuel E. Acacio,University of Murcia,sc,1.0,0.25,2002
Somayeh Sojoudi,Univ. of California - Berkeley,icml,1.0,0.33333,2018
Carla E. Brodley,Northeastern University,ccs,1.0,0.5,1998
Fabrizio Silvestri,Sapienza University of Rome,naacl,1.0,0.25,2015
Bin Cui 0001,Peking University,sigmod,3.0,0.64286,2018
Qingming Huang,Chinese Academy of Sciences,aaai,3.0,0.7,2018
Kyriakos Mouratidis,Singapore Management University,vldb,2.0,0.66667,2009
Uwe Röhm,University of Sydney,sigmod,1.0,0.33333,2008
Jennifer Mankoff,University of Washington,chiconf,4.0,1.1429,2013
David M. Mount,University of Maryland - College Park,soda,2.0,0.83333,1993
Shih-Fen Cheng,Singapore Management University,ubicomp,1.0,0.11111,2016
Yin Tat Lee,University of Washington,stoc,4.0,1.5833,2017
Rada Mihalcea,University of Michigan,naacl,1.0,0.33333,2019
Boaz Barak,Harvard University,focs,2.0,0.58333,2004
Peter Widmayer,ETH Zurich,sigmod,1.0,0.5,1994
Shumo Chu,Univ. of California - Santa Barbara,kdd,1.0,0.5,2011
Qingming Huang,Chinese Academy of Sciences,nips,1.0,0.2,2020
Tiberiu Popa,Concordia University,siggraph,1.0,0.2,2004
Mo Li 0001,Nanyang Technological University,icde,2.0,0.58333,2021
Walon Wei-Chen Chiu,National Chiao Tung University,icra,1.0,0.16667,2021
Evangelos E. Milios,Dalhousie University,iros,1.0,0.33333,2007
Leslie Pack Kaelbling,Massachusetts Institute of Technology,icml,1.0,0.16667,2019
Vitaly Shmatikov,Cornell University,ccs,1.0,0.33333,2017
Julian J. McAuley,Univ. of California - San Diego,www,1.0,0.5,2013
Mario Fernando Montenegro Campos,UFMG,icra,2.0,0.58333,2012
Leandro Soriano Marcolino,Lancaster University,iros,2.0,1.0,2009
Tal Rabin,University of Pennsylvania,ccs,1.0,0.33333,1998
Jin Huang 0009,Chinese Academy of Sciences,chiconf,3.0,0.45238,2020
Eli Gafni,Univ. of California - Los Angeles,stoc,1.0,0.33333,1988
Yannis Kotidis,AUEB,icde,1.0,0.2,2012
Ronald G. Dreslinski,University of Michigan,isca,2.0,0.22222,2015
Zhi Wang 0004,Florida State University,oakland,1.0,0.5,2010
Marcus A. Magnor,TU Braunschweig,chiconf,1.0,0.2,2017
Marcus A. Brubaker,York University,cvpr,1.0,0.33333,2015
Edith Elkind,University of Oxford,ec,1.0,1.0,2005
Shmuel Peleg,Hebrew University of Jerusalem,cvpr,1.0,0.33333,2014
Yuval Ishai,Technion,crypto,2.0,0.41667,2020
Marten van Dijk,University of Connecticut,ccs,1.0,0.14286,2013
Mikolaj Bojanczyk,University of Warsaw,lics,1.0,0.5,2010
Aylin Caliskan,George Washington University,naacl,1.0,0.33333,2013
Heng Huang,University of Pittsburgh,kdd,1.0,0.14286,2021
Ming-Yang Kao,Northwestern University,soda,1.0,0.25,2004
Seungyong Lee 0001,POSTECH,siggraph,1.0,0.33333,1995
Brian D. Noble,University of Michigan,osdi,1.0,0.33333,2002
Alberto Quattrini Li,Dartmouth College,icra,1.0,0.2,2016
Nuno Vasconcelos,Univ. of California - San Diego,iccv,2.0,0.58333,2013
Yoav Goldberg,Bar-Ilan University,acl,2.0,0.83333,2014
Frans A. Oliehoek,TU Delft,aaai,4.0,1.0333,2016
Yu Wang 0003,Temple University,mobicom,1.0,0.14286,2015
Damon McCoy,New York University,imc,1.0,0.14286,2013
Aviral Shrivastava,Arizona State University,dac,2.0,0.42424,2018
